"Amount", "Type", "Description", "Date"
1000.00, debit, Salary, 02/12/2024
1000.00, debit, Salary, 02/12/2024
500.00, credit, Food, 02/12/2024
1000.00, debit, Salary, 02/12/2024
1000.00, debit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, debit, Test, 12/12/2024
1000.00, debit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
1000.00, credit, Test, 12/12/2024
500.00, debit, Test, 16/12/2024
200.00, debit, Test, 16/12/2024
1000.00, debit, TestSaving, 16/12/2024
1000.00, debit, Test, 16/12/2024
100.00, debit, Test, 16/12/2024
1000.00, debit, Test, 17/12/2024
1100.00, debit, Test2, 19/12/2024
